考區主任
考區副主任
考區總幹事
考區副總幹事
考區試務主任
考區試務幹事
考區巡場安全督導
分區主任
分區副主任
分區巡場主任
分區巡場委員
分區試務幹事
分區總務幹事
分區副試務幹事
分區試務管卷人員
試務人員兼預備監試
分區總務人員
分區巡場人員
分區領送卷人員
分區監試人員
考區主任司機
分區校護
